mim	is_phenotype	date_fetched	pmid_refs
103220	True	2025-03-20	7609449|8479824|3031073|12140186|22187496|1582253|15016764|20504995|12176321|9207786|8100217|31618756|2829183|8644740|10926541|10364542|14749836|12112115|25732997|2547778|8703133|11756613|2823266|16155110|14603310|27693233|8103757
103285	True	2025-03-19	11528512|20814947|11929852|10607963|8456838|17041931|16724007|16114047|18603493|11462173|19530185
103300	False	2025-03-21	6616945|12707967|3605955|11837603|21290964|1121025|5263276|10232758|880741
103400	False	2025-03-21	
103420	True	2025-03-20	1815166|962658
103470	False	2025-03-21	
103500	True	2025-03-19	9546825|18510545|6018993|10851256|8589691|13985019
103580	True	2025-03-19	12407707|11073544|3223496|15711092|18372789|6267099|7815417|10566660|401530|6302127|4359274|5635160|4309802|8383205|17405843|15070926|7136683|8989268|6822662|219026|1083395|14799100|10099144|6252235|6247654|6265935|3089087|6278930|12970262|2187341|11254676|1356667|6325502|14117275|3210200|17652219|1621772|6770678|219790|19858129|2829196|6301273|6249307|3934357|3003142|12970307|7076801|21549|17962410|14469327|12970263|11095461|17161328|18182455|230052|198661|6935665|14430045|2109828|8444241|8151649|6773975|2856889|6287258|2031618|6090498|6344759|5125407|2122458|10322399|3018580|2993571|657576|931429|7853365|6251958|9671744|8646317
103600	False	2025-03-21	7297678|5971057|2564675|2911589|2762316|2404284|5766779|5687087|5694042|1269174|2339130|683332|8347685|3828358|2104980|4027254|11781148|29981851|1518850|1127526|6086494|6275391|13673098|14224515|6318292|3578276|6933567|16592818|13655663|6522935|2898383|7902134|3081519|2247440|2792379|6192711|6292049|2901102|3338164|5365516|4168022|7166310|7180851|5366285|6897630|5009795|5926635|1946412|8022807|16608438|6052735|5917081|5586812|2914956|18459107|7882997|1347703|8513793|2452956|3009475|6328518|6174977|1859851|1390939|8064810|12743361|3678824|11743520|6155699|2430733|3353369|1819460|14497189|158758|4675003|677290|5060570|6800289|8048949|9589637|7213917|3474609|3479777|3478700|14187073|6085063|429006|7266640|9329347|19556507|8134387|4634450|5641132|5798598|5444873|5661865|5927876|4748758|6072616|13844624|13785411|7302558
103700	True	2025-03-20	655629|230779|2298906|10697413|17718394|2934088|2935875|8834044|9982|4504607|12050823|5548434|4796765|4748759|3006456|1200030|8279483|2748595|2737681|3013304|4313164|2347582
103735	False	2025-03-21	12050823|1881901
103740	False	2025-03-21	1362387|270680|3466164
103780	True	2025-03-19	11102287|2339688|6474187|19193628|17921519|1969501|1979357|15731118|9880654|18541917|15863807|2882604|2298906|18319328|16571603|15274051|15635638|17928304|10923994|18276852|12749054|23239122|24268660|12915525|15211641|16385453|17804423|15389757|20332099|10869113|18056758|26430123|8807664|12215082|15094791|12665621|9603607|16000316|18996923|15729746|10089015|11329392|3189329|16534506|10819022|15630072|9603606|758678|10395222|17923853|4036659|17250611|15229186|545|17622222
103800	False	2025-03-21	
103830	False	2025-03-21	2498333|10393438|30487609
103870	True	2025-03-20	3267224|2731939|3105602|3674018
103880	False	2025-03-21	8244370|2498333|1612607|2504709|1901857|1901827|15181092|2112546|9215310
103890	False	2025-03-21	
103900	True	2025-03-19	11600544|11549669|7026592|6268979|8825044|4346813|7550315|6987607|8964867|1731223|9851772|1472060|12107222|6268977|6018580|7593610|5793351|10852446|10999827|10566645|4288576
103920	True	2025-03-20	75074|382935
103950	False	2025-03-21	2408344|94459|16040006|9697696|2434923|2478422|10319853|19639019|2460294|1379499|2581245|4622731|9811940|18499670|2415929|1374237|1717945|19380872|2475424|1370808|10319855|10319854|12966032|2578664|7528166|7544347|8798779|15023809
104100	True	2025-03-19	7577599|20635335|13834517|8488878|25168385
104110	False	2025-03-21	3813597
104145	False	2025-03-21	7509788|7517938|8755513|10400926
104150	True	2025-03-20	14699509|6187626|6186903|6170120|6172714|12297623|2436661|6154931|2432657|6192711|6170978|6167988|7684942|2452956|6192439|7543998|67170|15626755|18854864|57576|2580830|24120489|15280901|2431238|6205824|6182563|6085063|2436297|2415443|2435718|18669658
104155	False	2025-03-21	19597492|20720010|38684900|8755926|37449401|85351|1719379|37713040|26232227|38973251|18272476|15750593|38035881|24787759|8995484|8666409
104175	True	2025-03-20	19218399|1901859|2503516|1901427|11778012|12493821|1559713
104200	True	2025-03-19	20773074|7371220|4010153|11134255|9269635|25575550|626446|13582260|14856448|17948465|11044206
104219	True	2025-03-20	1656955|7746284|8183249|8039425|1706716|7815325|1359975|8024574|8288218|8125015
104220	True	2025-03-20	1662393|9326654|9700190|8039425|1706716|1676978|1328250|2154750
104221	False	2025-03-21	9490024|8183249|8396931|7737411|1363873|7815325|1970822|8564208|8024574
104222	True	2025-03-20	
104230	False	2025-03-21	10929005|1672847|7559635|6205076|7782074|11278338|8287679|3680240
104240	True	2025-03-20	7655169|2449951|12097641|18488037|24970085|8557707|8027041|3680240
104260	False	2025-03-21	31664034|24114805|11701600|10647009|10404816|2164221|2842764|12629104
104290	True	2025-03-19	15286158|8496742|14667076|10695898|1361034|19996082|30423015|15174025
104300	True	2025-03-19	3257719|10905250|24821909|2856948|6992964|22784036|19098903|3690426|2531979|16040006|2902440|12490529|16341549|11673588|16567613|10980749|12212789|12417360|11284991|6738605|3340281|18802001|10441572|20554627|2448646|19822782|18272374|2901095|21391232|3277188|363103|384295|8346443|6881929|18071042|15455399|22323736|10986048|30046111|3126980|10631151|14583441|3495222|12177374|19286555|15668448|3350531|14872014|8649554|15159498|31645758|8290042|2035523|2314579|10631141|2964224|23704552|16461860|16082692|1671712|2563508|7205322|10735278|10737127|85165|16446437|2035522|15883264|9122152|19734902|394671|9241262|15824371|5912002|142459|567976|17756099|6228188|10482953|21460840|15729734|27033548|16247771|31748742|22278060|11506396|2528696|22801501|20697030|16302009|1520398|16372134|15024730|12702875|20826309|22403391|19734903|24162737|7581446|23704556|16858073|1492744|21059989|17420311|16541076|17360687|15714520|14570706|11875758|12891359|10391244|15649702|2457908|9626772|7023604|9167474|21148344|16567017|10699053|6610841|21610957|18854865|14581683|1302033|1925564|19198615|10978362|1678058|6600923|6538270|17115048|6102203|31727856|22660329|8658185|11500807|12016588|12533085|1867282|16831961|11735772|19738170|6536726|23704553|11436125|15184629|1676700|28052060|19273754|24786080|16908746|8751868|17553421|21220680|14533778|19606474|20167577|7004610|15060098|28806762|17220890|15365148|16369530|16226260|19923550|18836460|14564669|8756120|10653020|11844848|16288313|8035925|10053018|13171126|2395471|2880399|15731448|17121991|12709467|16027741|11914406|10600748|1939107|2888020|21823155|6251745|23704554|17080199|11005793|9050898|22033521|3306405|8411049|23704555|29293211|1763890|474626|6859040|13844275|7294063|16401740|2970636|12533083|8751438|1908231|20457965|15023809|11914421|31395777|3662454|3354615|9653640|21640374
104310	True	2025-03-19	17310043|15385439|8346443|3669048|19734902|26494756|32376954|2035524|3197787|11248079|8592548|14688411|16401842|11790235|1349467|1998342|16288313|16894123|3422543|20479234
104400	True	2025-03-20	22002956
104500	True	2025-03-19	3169793|28334996|13655172|7833920|9027503|11978766|17125728|6957136|11487571|4625727|25143514|13469154
104510	True	2025-03-19	292959|2387085|3422811|15666299|10466415|8375104|18203197|9382143
104530	True	2025-03-19	292722|16674655|23958762|23632796|265269|162891|3150442|4375507
104570	True	2025-03-20	122795
104613	True	2025-03-20	39480921|8034610|1352881
104614	True	2025-03-20	21255007|18332091|8792820|8054986|7789946|7568194|12239244|15635077|9768685|8463902|12820697|11748844|11129328|8731106|8486766|11524703|15913950|12923163|8054985|7539209|8812428|8921402|5904553|14531788|1376924|8052618|7698775
104620	True	2025-03-20	2571406|8394326|24117009|1662666|1550126|2006156|15196915|1707030|2542383|3106151|6803586|373141|16465618|17562838|16274666|6948533
104702	True	2025-03-20	25788522|15340426|2788608|1679752|2081604|2452973|15286789|17828263|6176528|22965187|15273396|6608795|5097906|6196780
104740	True	2025-03-20	
104751	False	2025-03-21	3130100|7622070|8188252|8325654|7686132
104752	False	2025-03-21	8661036|8188252|7686132|1439582|1740433
104770	True	2025-03-20	20962779|9256275|3759147|3691191|19011614|2987268|4054960|12015594|4055725|3169883|2443773
